nombre_actor,anno_nacimiento,peliculas,que_hace,premios
Chris Hopkins,0,"['Crímenes imperfectos', 'None', 'None', 'None']",None,0
Haven Nutt,0,"['Mr. Man', 'Street Dykes', 'Maskerade', 'Gun']","['Reparto', 'Producción', 'Dirección']",0
Ben Fiore,1959,"['Appointment with Death', 'The Mamaluke', 'Pursuit', 'Penelope']","['Guion', 'Reparto', 'Producción']",0
Keith McMahon,0,"['Creencias mortales', 'None', 'None', 'None']",['Reparto'],0
Sheila Dara Aisha,0,"['Yang Hilang Dalam Cinta', 'Noktah Merah Perkawinan', 'Nanti kita cerita tentang hari ini', 'Eggnoid']","['Reparto', 'Banda sonora']",1
Dion Wiyoko,0,"['Cek Toko Sebelah', 'Terbang: Menembus Langit', 'Susi Susanti: Love All', 'Hattrick']",['Reparto'],0
Morgan Oey,0,"['The Night Comes for Us', 'Koki-Koki Cilik', 'Assalamualaikum Beijing', 'Sweet 20']","['Reparto', 'Banda sonora']",3
Ferry Salim,1967,"['Bangkit!', 'Ca-bau-kan', '2045 Apa Ada Cinta', 'Teka Teki Tika']",['Reparto'],0
Jenny Chang,0,"['Perdidos', 'Agent Orange', 'The Orb', 'In the Moment']","['Reparto', 'Producción']",0
Eriska Rein,0,"['Bajaj Bajuri the Movie', 'Aku Cinta Kamu', 'A Man Called Ahok', 'Teka Teki Tika']",['Reparto'],0
Tansri Kemala,0,"['Teka Teki Tika', 'None', 'None', 'None']",['Reparto'],0
Ayu Laksmi,0,"[""Los hijos de Satán (Satan's slaves)"", 'Bumi Manusia', 'Di Bawah Pohon', 'Sekala Niskala']","['Reparto', 'Composición']",0
Whani Darmawan,0,"['Kucumbu tubuh indahku', '24 horas con Gaspar', 'The Love Verses', 'Qodrat']","['Reparto', 'Equipos adicionales']",1
Kiki Narendra,0,"['Pengabdi Setan 2: Communion', 'La mujer del infierno', 'Preman', 'Pertaruhan: The Series']",['Reparto'],1
Enrico Basile,0,"['Maria Montessori', 'I Came from the Future', 'Rêve General', 'Un passo alla volta']",['Reparto'],1
Carmine Claudio Covino,0,"['Un passo alla volta', 'Un colpo al cerchio e uno alla botte', 'None', 'None']",['Reparto'],1
Festus Osayi Ebomwonyi,0,"['Un passo alla volta', 'None', 'None', 'None']",['Reparto'],1
Michele Farina,0,"['None', 'None', 'None', 'None']",None,1
Micòl Gaia Ferrigno,0,"['Un passo alla volta', 'Un colpo al cerchio e uno alla botte', 'Doppio sei', 'None']","['Reparto', 'Dirección de casting']",0
Nicola Russo,0,"[""Nemici d'infanzia"", 'I pavoni', 'Marciando nel buio', 'Tobia al caffè']",['Reparto'],0
Bayejid Sarker,0,"['Un passo alla volta', 'None', 'None', 'None']",['Reparto'],0
Seydou Sidibe,0,"['Un passo alla volta', 'None', 'None', 'None']",['Reparto'],0
Arianna Sorrentino,0,"['Imma Tataranni', 'Un passo alla volta', 'None', 'None']",['Reparto'],0
Giorgio Sorrentino,0,"['Gomorrah', 'Sumerika', 'The Voice Is Over', 'Soma']","['Reparto', 'Sonido']",0
Diana Chiritescu,0,"['Ant-Man', 'El viaje más largo', 'Los originales', 'Fox the Gambler']","['Reparto', 'Producción']",0
Nate Clute,0,"['Semper', 'Guys Reading Poems', 'The Choice', 'The Circuit Intendant of Aldwych']","['Reparto', 'Sonido', 'Edición']",0
Julian Curi,0,"['Gruff', 'A Case for Love', 'None', 'None']","['Dirección', 'Producción', 'Guion']",1
Mindee de Lacey,0,"['Dave', 'The Onania Club', 'The Allnighter', 'Feud']","['Reparto', 'Producción']",1
Kenneth Duchamp,0,"['Pawn', 'K for Karma', 'White Baklava', 'Common Sense Police']","['Producción', 'Dirección', 'Reparto']",1
Morgan McNair,0,"['Stepdaughter Slaughter', 'Chauffeur', 'Pictures of Us', 'None']",['Reparto'],1
Jay DeVon Johnson,0,"['Cinnamon', 'Greenleaf', 'Dear Santa, I Need a Date', 'Nancy Drew y la escalera escondida']","['Reparto', 'Producción', 'Equipos adicionales']",0
Drez Ryan,0,"['A New Orleans Noel', 'Panhandle', 'Moonshot', 'Ordinary Joe']",['Reparto'],0
Christian Brunetti,0,"['Falcon y el Soldado de Invierno', 'Black Lightning', 'Max', 'House of Cards']","['Especialistas', 'Reparto', 'Equipos adicionales']",0
Kimberly Ann Parker,0,"['Enjambre', ""Somebody's Child"", '30 Day Promise', 'Black Mafia Family']","['Reparto', 'Producción', 'Guion']",0
Samantha Peel,0,"[""The Supremes at Earl's All-You-Can-Eat"", 'On the Come Up', 'Insatiable', 'Los últimos días de Ptolemy Grey']",['Reparto'],0
Aaron Rosendary,0,"['Megan Leavey', 'Ranam', 'Army Wives', 'Homeland']","['Guion y continuidad', 'Reparto', 'Especialistas']",0
Catherine Anderson,0,"['Grassman', 'Murder Bowl', 'The Caretaker', 'Made in Cleveland']","['Reparto', 'Vestuario', 'Maquillaje']",1
Jerry Lee Tucker,0,"['La última bandera', 'Pequeño Demonio', 'Criminal Activities', 'None']","['Reparto', 'Producción', 'Dirección']",1
Frank Merkx,0,"['What About American History', 'A Documentary', 'Belching 37', 'A Hong Kong Opera']","['Reparto', 'Dirección', 'Producción']",1
Kristian Van der Heyden,0,"['Lamunan Oi!', 'Como reinas', 'Semalu', 'Under']","['Producción', 'Reparto', 'Guion']",7
Javier Botet,1977,"['It', 'Amigo', 'La momia', 'Expediente Warren: El caso Enfield']","['Reparto', 'Guion', 'Producción']",12
Julián Génisson,0,"['Ayudar al ojo humano', 'Esa sensación', 'La tumba de Bruce Lee', 'Inmotep']","['Reparto', 'Guion', 'Dirección']",1
Lorena Iglesias,0,"['La tumba de Bruce Lee', 'Ayudar al ojo humano', 'Dioses autonómicos', 'Mamántula']","['Reparto', 'Dirección', 'Guion']",0
David Pareja,0,"['Amigo', 'La mesita del comedor', 'The Kids', 'Mirada perdida']","['Reparto', 'Guion', 'Dirección']",11
Mireia Pérez,0,"['Bon Dia Bonica', 'Negocis de família', 'Fugitiva', 'Un suave olor a canela']",['Reparto'],0
Aaron Rux,0,"['La tumba de Bruce Lee', 'Vergüenza', 'Todos tus secretos', 'Purgatorio']","['Composición', 'Reparto', 'Música']",0
Xabi Tolosa,0,"['Cabás', 'Biotopía', 'Todos tus secretos', 'Mantícora']","['Reparto', 'Producción']",0
Zach Kanner,0,"['For You, Anything', 'Desperate Acts of Magic', 'Mi película de la cienciología', 'Easter Bloody Easter']","['Reparto', 'Producción', 'Dirección']",0
Tom Rathbone,0,"['Obituary of the Sun', 'Madison Avery', 'Coffee and ECigarettes', 'None']",['Reparto'],0
Lec Zorn,1970,"['The Marsh Man', 'Ghost Bartender', 'The Hacker', 'The Diamond Chase']","['Reparto', 'Producción', 'Guion']",0
Nicolas Akrabov,0,"['Cello', 'Shooting star', 'The Last Attempt', 'None']","['Dirección', 'Reparto', 'Guion']",0
Radostina Vasileva,0,"['AJ Tracey: Live on the River Thames - Hennessy Courts Beyond Limits', 'None', 'None', 'None']",['Edición'],0
Andrea Stefancikova,0,"['Debris', 'Výnimocná Nikol', 'American Badger', 'Below Her Mouth']","['Reparto', 'Producción', 'Dirección de casting']",2
Kirk Caouette,0,"['X-Men 2', 'Dream with You', 'A Xiu Luo', 'Elektra']","['Especialistas', 'Guion', 'Dirección']",4
Michael Kopsa,1956,"['Los 4 Fantásticos', 'Apollo 18', 'Love Happens', 'El origen del planeta de los simios']","['Reparto', 'Banda sonora']",0
Milan Stefancik,0,"['Promiseland', 'American Badger', 'None', 'None']",['Reparto'],0
Zak Santiago,0,"['Human Cargo', 'Young Blades', 'Ultimátum a la Tierra', 'Perfect Sisters']","['Reparto', 'Producción', 'Especialistas']",1
Adrian Hough,0,"['Home Before Dark', ""Assassin's Creed III"", ""X-Men '97"", 'Las escalofriantes aventuras de Sabrina']",['Reparto'],0
Sean Kohnke,0,"['Predator', 'Deadpool 2', 'El rascacielos', 'Warrior']","['Especialistas', 'Reparto', 'Guion']",0
Tristan Risk,1980,"['Frankenstein Created Bikers', 'American Mary', 'Amazon Hot Box', 'Ayla']","['Reparto', 'Guion', 'Dirección']",6
John Sampson,0,"['Paycheck', 'El equipo A', 'Redención (Southpaw)', 'The Lookout']","['Especialistas', 'Efectos especiales', 'Equipos adicionales']",0
Mark Skip Schilperoort,0,"['American Badger', 'Promiseland', 'None', 'None']",['Reparto'],0
Dony Ndadem,0,"['Nouveau stock', 'Par elles, pour elles', 'None', 'None']",['Reparto'],0
Yannick Nkongnte,0,"['Empoisonnement', 'Par elles, pour elles', 'Nouveau stock', 'Halte']","['Reparto', 'Edición', 'Sonido']",0
Sami Allison,0,"['Proud Citizen', 'Fort Maria', 'None', 'None']",['Reparto'],0
Blakeley Burger,0,"['Proud Citizen', 'None', 'None', 'None']",['Reparto'],0
Ryan Case,1980,"['Modern Family', 'Fire Me', 'The Mindy Project', 'Brooklyn Nine-Nine']","['Edición', 'Dirección', 'Producción']",2
Natalie Cummins,0,"['Proud Citizen', 'None', 'None', 'None']",['Reparto'],2
Elliott Moore Haynes,0,"['Proud Citizen', 'None', 'None', 'None']",['Reparto'],2
Leif Rigney,0,"['Proud Citizen', 'Hitting the Cycle', 'None', 'None']",['Reparto'],2
Judy Sanders,0,"['Proud Citizen', 'None', 'None', 'None']",['Reparto'],2
Katerina Stoykova-Klemer,0,"['Proud Citizen', 'The Way Things Are', 'Fort Maria', 'Love at 48']","['Reparto', 'Guion', 'Equipos adicionales']",2
Irina Alfyorova,1951,"[""D'Artanyan i tri mushketyora"", 'Geroy nashego vremeni', 'Parol znali dvoye', 'S lyubimymi ne rasstavaytes']",['Reparto'],1
Ellina Bandeeva,0,"['Druzya druzey', 'Starye Shishki', 'Zhizn po vyzovu', 'Galustyan+']",['Reparto'],1
Sergey Batalov,1957,"['Kolya - perekati pole', 'Bratya Karamazovy', 'Una composición para el día de la victoria', 'Arifmetika lyubvi']",['Reparto'],1
Maksim Belborodov,1989,"['Ikariya', 'Zloy gorod', 'Oderzhimaya', 'Krepost Badaber']",['Reparto'],1
Sergey Borisov,0,"['Sin amor', 'Leviatán', 'Portret v sumerkakh', 'Komandir']",['Reparto'],1
Peter Chernyaev,0,"['Starye Shishki', 'None', 'None', 'None']",['Reparto'],1
Aleksey Guskov,1958,"['Otets', 'Ragin', 'Las confesiones', 'Granitsa. Tayozhnyy roman']","['Reparto', 'Producción']",2
